User ID,Type_base,Datetime,Sentiment,Score,Type_content,Category
10f311c3-f547-4260-8c0e-a155008b7936,disgust,2021-01-13 23:35:56,negative,0,photo,animals
10f311c3-f547-4260-8c0e-a155008b7936,disgust,2021-01-23 05:42:10,negative,0,photo,animals
10f311c3-f547-4260-8c0e-a155008b7936,dislike,2020-11-07 15:12:25,negative,10,photo,animals
10f311c3-f547-4260-8c0e-a155008b7936,dislike,2020-11-05 07:12:26,negative,10,photo,animals
10f311c3-f547-4260-8c0e-a155008b7936,dislike,2021-01-03 11:25:39,negative,10,photo,animals
10f311c3-f547-4260-8c0e-a155008b7936,dislike,2021-06-16 11:01:28,negative,10,photo,animals
10f311c3-f547-4260-8c0e-a155008b7936,scared,2020-10-21 10:10:43,negative,15,photo,animals
10f311c3-f547-4260-8c0e-a155008b7936,interested,2021-06-01 15:03:43,positive,30,photo,animals
10f311c3-f547-4260-8c0e-a155008b7936,interested,2021-05-29 14:25:11,positive,30,photo,animals
10f311c3-f547-4260-8c0e-a155008b7936,interested,2020-10-21 06:40:18,positive,30,photo,animals
10f311c3-f547-4260-8c0e-a155008b7936,peeking,2021-01-18 16:46:29,neutral,35,photo,animals
10f311c3-f547-4260-8c0e-a155008b7936,cherish,2020-08-19 00:21:44,positive,70,photo,animals
10f311c3-f547-4260-8c0e-a155008b7936,hate,2020-06-21 07:43:25,negative,5,photo,animals
10f311c3-f547-4260-8c0e-a155008b7936,hate,2020-09-14 01:49:34,negative,5,photo,animals
10f311c3-f547-4260-8c0e-a155008b7936,hate,2021-02-16 13:46:34,negative,5,photo,animals
10f311c3-f547-4260-8c0e-a155008b7936,super love,2021-01-03 13:24:25,positive,75,photo,animals
10f311c3-f547-4260-8c0e-a155008b7936,super love,2021-01-10 23:34:05,positive,75,photo,animals
10f311c3-f547-4260-8c0e-a155008b7936,super love,2020-10-19 01:05:27,positive,75,photo,animals
10f311c3-f547-4260-8c0e-a155008b7936,super love,2020-12-13 21:39:45,positive,75,photo,animals
10f311c3-f547-4260-8c0e-a155008b7936,worried,2020-06-21 19:23:13,negative,12,photo,animals
10f311c3-f547-4260-8c0e-a155008b7936,worried,2020-06-28 15:26:25,negative,12,photo,animals
10f311c3-f547-4260-8c0e-a155008b7936,worried,2020-09-16 23:33:28,negative,12,photo,animals
